,n,time,reward,moving action smoothness,smoothness,moving_avg,success_moving_avg
49,50,212.21308732032776,189.34510977484817,219.19991615802073,518.4646866892148,510.8483032097402,0.8333333333333334
50,51,216.07421350479126,244.46900423806042,219.6953884733156,517.6156399220328,475.16330156293253,0.8333333333333334
51,52,219.87210416793823,366.39140853210637,222.5164657821385,516.734974045762,471.8210143559512,0.8571428571428571
52,53,223.68659353256226,197.05659984459396,222.03609095312825,515.9866344279178,477.07297430001927,0.8571428571428571
53,54,227.73950362205505,270.2913002918493,222.92970594088234,515.5627879239912,493.0989232158844,0.8571428571428571
54,55,232.85329341888428,287.6786080138657,224.10695870584567,514.4548124538836,454.62413706807104,0.875
55,56,237.22884821891785,396.1969700392756,227.1799946225141,513.4956608362118,460.74232186425957,0.8888888888888888
56,57,241.7562334537506,485.42445399312663,231.7105991728757,512.1336873342551,435.86317122468154,0.9090909090909091
57,58,245.69156980514526,535.13222589738,236.94200653019473,511.4431379401827,472.0818224780567,0.9230769230769231
58,59,249.58124494552612,385.2500249751556,239.45570175807543,510.39925567855704,449.8540845042713,0.9285714285714286
59,60,253.79823994636536,591.7528126952701,245.32732027369534,509.2906423535449,443.882456177828,0.9411764705882353
60,61,257.7561950683594,485.43441391469685,249.26350213666254,507.77821366193996,417.03249216564427,0.9473684210526315
61,62,261.5535218715668,465.5823549039096,252.752515890973,506.76958012820177,445.2429345701704,0.9523809523809523
62,63,265.38024640083313,649.5130064439248,259.0503014553056,505.59694194444455,432.8933745515003,0.9583333333333334
63,64,269.3863573074341,466.645701683385,262.2939795838694,504.8010934057162,454.66263546582536,0.96
64,65,273.2309453487396,635.0884593276803,268.02927927223567,503.87446751422294,444.57041045865657,0.9642857142857143
65,66,277.45933771133423,839.7610296564502,276.69188155078433,503.09838274840854,452.6528729704727,0.9696969696969697
66,67,281.6642336845398,641.5958971642299,282.1382101420298,502.401767074638,456.4251326057773,0.9722222222222222
67,68,285.62111616134644,837.4479381038614,290.30452967088024,502.01795701515886,476.3026830300557,0.975609756097561
68,69,289.5268967151642,727.7170044314256,296.643840899294,501.4874081427679,465.4100848201876,0.9777777777777777
69,70,293.41711497306824,528.4636154901218,299.95555196487726,500.91539959249775,461.44680962385297,0.9787234042553191
70,71,297.4913306236267,767.3227458873192,306.53818849899613,500.1585579799061,447.17964509848963,0.9803921568627451
71,72,301.6847743988037,614.8087269663271,310.81972375548685,499.4806003433808,451.3456081500886,0.9814814814814815
72,73,305.7243230342865,767.7744781899705,317.07937792582226,498.6259254566739,437.0893336137744,0.9827586206896551
73,74,309.4704439640045,525.1412763486,319.89102520180575,497.7558140408841,434.23768068822807,0.9833333333333333
74,75,313.2963454723358,747.3539431134465,325.59053077396095,496.7961964525202,425.7844949135938,0.984375
75,76,317.1435241699219,854.774144983712,332.5534730661945,495.95125796972275,432.5808717599164,0.9855072463768116
76,77,321.05858516693115,1083.8771041908083,342.3109228210596,495.17952272987685,436.52764450158816,0.9868421052631579
77,78,325.15951585769653,865.5812863423296,349.01951722517845,494.4660299930928,439.52708926071267,0.9876543209876543
78,79,329.2652316093445,620.7254666341449,352.4588330404818,493.5077567326595,418.7624424188688,0.9880952380952381
79,80,333.1046440601349,742.5378837717898,357.3348211746232,492.53767721708374,415.9013954865911,0.9886363636363636
80,81,337.1456480026245,1075.7307935528997,366.20390725336733,491.81138749845314,433.7082100080111,0.9894736842105263
81,82,341.1195182800293,959.8770372228197,373.443823472507,491.03639743810567,428.2622025499577,1.0
82,83,344.9536168575287,821.2456726972919,378.83902647521523,490.108062987448,413.9846380335186,1.0
83,84,348.95967841148376,626.1313257387588,381.78298241882885,489.16129019915286,410.5791487706555,1.0
84,85,353.13254952430725,823.5521237049493,386.98026643395974,488.14551575001116,402.820462022106,1.0
85,86,357.0055675506592,823.3629883287142,392.05448413041034,487.313423793907,416.5856075250575,1.0
86,87,361.0155384540558,721.5661483989167,395.84197452430124,487.0295366398618,462.6152413919769,1.0
87,88,364.8819913864136,819.3039784599322,400.6540427508425,486.00381712441214,396.7662192802882,1.0
88,89,368.72613286972046,1045.1604243367058,407.89568748776225,485.07782297461955,403.59033779286796,1.0
89,90,372.6379590034485,697.0673558979689,411.1087060256535,484.180590896256,404.3269359218987,1.0
90,91,377.007333278656,1360.8025630676898,421.54490225688465,483.96605807744066,464.65810438406135,1.0
91,92,381.1680190563202,1046.586369136634,428.338831244708,483.1063822339036,404.8758804720367,1.0
92,93,385.08187341690063,1030.9263050892416,434.8182664473374,482.43596679793154,420.7577466884988,1.0
93,94,389.0565502643585,837.353388809764,439.1005549831079,482.29152710805823,468.8586359498423,1.0
94,95,393.04752922058105,927.1149251086899,444.23754835285087,481.69741298414385,425.8506853361885,1.0
95,96,395.5720121860504,253.56619796774214,442.251388453006,479.25189273680536,246.92746923965964,0.99
96,97,399.63077449798584,446.1707588074437,442.2917943329486,478.4236128717081,398.90874582236324,0.99
97,98,403.7700798511505,1039.7394958433324,448.38819945040154,477.85802660209197,422.99615844933174,0.99
98,99,407.8890345096588,1069.4066632611086,454.6611132262672,478.1455917521523,506.32697645806826,0.99
99,100,412.1283600330353,686.0991259310056,456.9754933533146,477.75865638813144,439.4520553500637,0.99
100,101,417.25387167930603,550.4063887928296,462.3133443846185,478.26125232806686,439.1362941409458,0.99
101,102,422.02473044395447,936.0753403620716,468.41380916689167,478.82954276233295,492.11416454975705,0.99
102,103,428.09093499183655,973.3820573145596,475.02116693598686,480.02378191228934,540.2844444226237,0.99
103,104,433.2045011520386,817.745038057669,481.2402341999409,479.9506820229577,451.3938928128364,0.99
104,105,437.3231191635132,696.4728119568776,486.08200835907815,479.96767435984367,495.3882268043703,0.99
105,106,442.0320580005646,1453.4904194036249,498.68451792962355,480.173874791289,526.0345515365347,0.99
106,107,446.3160722255707,1119.6527251798402,508.05174998855784,480.0056206508541,468.96130385162877,0.99
107,108,450.72709679603577,895.1384487844472,515.1531676433711,479.3920629201322,447.91355726248804,0.99
108,109,456.46796441078186,916.8332666167448,522.1439642672299,479.5520899211378,502.5140937319448,0.99
109,110,460.5204026699066,775.1466243607967,527.6744371196794,479.44866162000153,463.4434399907806,0.99
110,111,464.73031187057495,919.2102775987441,535.0647181737778,479.0559425995053,479.0331025384964,0.99
111,112,468.87402749061584,880.6472700178931,542.0986784273382,478.88246789924034,494.7326241343,0.99
112,113,474.528258562088,918.835474711544,549.1718730088173,478.97408650451865,524.5193684388628,0.99
113,114,480.9353697299957,903.4543853540603,555.7022528863105,478.2398768709074,515.6045525387352,1.0
114,115,485.4074990749359,1328.38182444175,566.5618486256926,476.8738009867449,493.91720318015757,1.0
115,116,489.5755717754364,1128.8360502802252,575.651132206086,475.0386458788989,479.5004453173308,1.0
116,117,493.78880310058594,1124.1640082640245,585.0421780431901,472.255511824947,484.5254311210195,1.0
117,118,497.93426489830017,1113.8120685921713,593.6179183415927,470.11043243581037,488.5637852481114,1.0
118,119,504.2124390602112,1045.4428572357835,601.8270582377279,468.22565638286176,524.3500585634285,1.0
119,120,510.6938304901123,1332.9534924568768,613.2552558722305,466.9511641111001,512.2826395422267,1.0
120,121,517.428873538971,812.9110407495626,619.5939298223786,466.4544785085987,545.0881632783222,1.0
121,122,522.8466911315918,1117.462748843065,629.0069094971515,465.1812083555786,496.59948929303965,1.0
122,123,527.7680666446686,1334.7653673102807,640.3864329207997,463.4883898416038,500.83973578130474,1.0
123,124,533.4702987670898,925.8919484422714,647.6667290153171,462.34388887410717,590.5871053481073,1.0
124,125,540.0548224449158,1015.859474929649,655.3104568302375,461.38914910948836,488.7329271042026,1.0
125,126,544.5399558544159,1224.3472777227691,664.1630862541283,461.42261850512534,517.2993401428765,1.0
126,127,548.861180305481,1143.0503700694017,673.4393412048847,461.7893095394382,516.1043089755783,1.0
127,128,553.308021068573,792.7906663821664,679.4863117023888,462.3042150826872,525.3934297184578,1.0
128,129,557.9100589752197,729.5651715098186,684.3429952369836,463.25077812790136,578.8654442121724,1.0
129,130,563.1556069850922,954.7431629114939,690.9541886769158,464.7434781228292,610.1586067800134,1.0
130,131,568.8994083404541,1214.7619412309575,701.0695114127238,465.59183186756826,526.1682421054159,1.0
131,132,573.0316355228424,1116.3987245375934,710.233026773913,466.36471548415625,524.633305881512,1.0
132,133,577.24551653862,1001.2001892924259,716.3076517593711,467.0796894257699,502.44584176827556,1.0
